Brewery	Count
Saugatuck Brewing Company 	35
Atwater Block Brewery 	35
Elk Creek Cafe & Aleworks 	35
Al's of Hampden / Pizza Boy Brewing 	35
The Wrecking Bar 	35
Brasserie Lefebvre SA 	34
Flying Fish Brewing Company 	34
Flying Bison Brewing Company 	34
Union Station Brewery 	34
Cascade Lakes Brewing Co. 	34
Elliott Bay Brewing Co. 	34
"Mash House Restaurant & Brewery, The "	34
Gilded Otter Brewing Company 	34
Lafayette Brewing Co. 	34
Blue Cat Brew Pub 	34
Liberty Steakhouse Brewery 	34
Gella's Diner & Lb. Brewing Co. 	34
Half Pints Brewing Company 	34
Breakwater Brewing 	34
Tommyknocker Brewery 	33
Pittsburgh Brewing Co. 	33
Wells & Young's Ltd 	33
Ice Harbor Brewing Company 	33
Caldera Brewing Company 	33
Brasserie Caulier 	33
Catawba Valley Brewing Company 	33
BJ's Chicago Pizza & Brewery Inc. 	33
Big Horse Brew Pub / Horse Feathers & Co. 	33
Front Street Brewery 	33
Olde Hickory Brewery 	33
Four Sons Brewery Restaurant 	33
Pittsfield Brew Works 	33
Hoppin' Frog Brewery 	33
Creekside Brewing Company 	33
DC Brau Brewing Co. 	33
Sante Adairius Rustic Ales 	33
Maplewood Farms Restaurant & Brewery 	32
Central Coast Brewing 	32
Beach Chalet Brewery and Restaurant 	32
Thirsty Bear Brewing Company 	32
Coast Range Brewing Co. 	32
Skagit River Brewery 	32
Snipes Mountain Microbrewery & Restaurant 	32
Melanie Brewing Company 	32
Diamond Knot Brewery 	32
Mishawaka Brewing Company 	32
Cally's Restaurant and Brewing Co. 	32
Blue Star Brewing Company 	32
Half Moon Bay Brewing Company 	32
French Broad Brewing Co. 	32
Wild Rose Brewery & Taproom 	32
Carolina Brewery 	32
Amos Howard's Brew Pub 	32
Rockyard Brewing 	32
Brown's Brewing Company 	32
Old Capitol Brew Works and Public House 	32
Iron Springs Pub & Brewery 	32
Iron Horse Brewery 	32
Bierbrouwerij Grand	32
Howe Sound Inn & Brewing Company 	32
Williams Brothers Brewing Company 	32
Fort George Brewery + Public House 	32
Marble Brewery 	32
Bellwoods Brewery 	32
Gritty McDuff's Brewing Company 	31
North Coast Brewing Co. 	31
Harvey & Son Ltd. 	31
J.W. Lees & Co (Brewers) Ltd 	31
Brouwerij Smisje 	31
Summit Brewing Company 	31
Brouwerij Bavik 	31
District ChopHouse & Brewery 	31
Uncle Buck's Brewery & Steakhouse 	31
Scotch Irish Brewing Company 	31
Bloomington Brewing Company / Lennie's 	31
Garrison Brewing Company 	31
75th Street Brewery 	31
River City Brewing Co. 	31
Fordham Brewing Company 	31
RJ Rockers Brewing Co. 	31
Choc Beer Co. / Pete's Place 	31
The Dodging Duck Brewhaus 	31
Daniel Thwaites Brewery PLC 	31
Central City Brewing 	31
Ham's Restaurant & Brewhouse 	31
Bridge Road Brewers 	31
Brau Brothers Brewing Co. LLC 	31
Nebraska Brewing Company 	31
Eskilstuna Olkultur 	31
Pioneer Brewing Co. 	30
Long Trail Brewing Co. 	30
Spoetzl Brewery 	30
Brouwerij Van Honsebrouck N.V. 	30
Bend Brewing Company 	30
Brouwerij Haacht NV 	30
Dick's Brewing Company 	30
Old Schoolhouse Brewery 	30
Ram Restaurant & Brewery 	30
Barrel House Brewing Company 	30
Brasseries Kronenbourg 	30
Prescott Brewing Company 	30
Santa Barbara Brewing Company 	30
Brouwerij Strubbe 	30
Tree Brewing 	30
BJ's Restaurant & Brewery 	30
Anacapa Brewing Company 	30
Purrumbete Brewing Company 	30
Sonoran Brewing Company 	30
Birra Del Borgo 	30
Raasted & Randers Bryghus A/S 	30
Grand River Brewing 	30
Spring House Brewing Company 	30
Greenport Harbor Brewing Company 	30
Dave's BrewFarm 	30
Brewery Vivant 	30
Copper Kettle Brewing Company 	30
Exit 6 Brewery 	30
Pennsylvania Brewing Company 	29
Brouwerij De Dolle Brouwers 	29
Maritime Pacific Brewing Company 	29
Brouwerij Alken	29
Thunderhead Brewing Company 	29
Emerson's Brewery 	29
Blackstone Restaurant & Brewery 	29
Blue Ridge Brewing Co. 	29
Brewer's Alley Restaurant & Brewery 	29
Little Apple Brewing Company 	29
Gaslight Brewery & Restaurant 	29
Brew Moon Restaurant & Microbrewery 	29
Birrificio Le Baladin 	29
Tenaya Creek Brewery 	29
Royal Oak Brewery 	29
Brouwerij Martens NV 	29
Hinterland Brewery Restaurant 	29
Black Forest Brew Haus & Grill 	29
"Aiken Brewing Company, Grill & Bar "	29
Silver Moon Brewing 	29
Three Rivers Eatery And Brewhouse 	29
Rinkuskiai Alaus Darykloje 	29
Roosters Brewing Company and Restaurant 	29
O'so Brewing Company 	29
McCann's Food & Brew 	29
Evolution Craft Brewing Company 	29
Fremont Brewing Company 	29
Broadway Brewery 	29
Swamp Head Brewery & Tasting Room 	29
People's Brewing Company 	29
Cismontane Brewing Company 	29
Sebago Brewing Company 	29
Holy City Brewing 	29
Perennial Artisan Ales 	29
Jack's Abby Brewing 	29
7venth (Seventh) Sun Brewery 	29
St. Peter's Brewery Co Ltd 	28
The Caledonian Brewery Company Limited 	28
Carolina Beer Company 	28
Indian Wells Brewing Company 	28
Stevens Point Brewery 	28
Northwest Brewhouse and Grill 	28
Celtic Bayou 	28
Golden City Brewery 	28
Santa Fe Brewing Company 	28
Asheville Pizza and Brewing Co. 	28
Kopparbergs Bryggeri AB (Sofiero 	28
Harper's Restaurant & Brewpub 	28
Park & Bellheimer AG 	28
Steamworks Brewing Co. 	28
Rubicon Brewing Company 	28
Herkimer Pub & Brewery 	28
Adirondack Pub & Brewery 	28
Feral Brewing Co. 	28
Altitude Chophouse & Brewery 	28
Rahr & Sons Brewing Company 	28
Innis & Gunn 	28
Starr Hill Brewery 	28
Crown Brewing 	28
Old Forge Brewing Company 	28
Beer Here 	28
The Lucky Monk 	28
Barrier Brewing Company 	28
Cerveceria La Constancia S.A. / BevCo Ltd 	27
Samuel Smith Old Brewery (Tadcaster) 	27
Belhaven Brewery Company Ltd. 	27
Barrington Brewery & Restaurant 	27
Mad River Brewing Company 	27
Broken Tooth Brewing 	27
Alaskan Brewing Co. 	27
Bierbrouwerij Sint	27
Butte Creek Brewing Company 	27
No	27
"Badger Brewery, Hall and Woodhouse "	27
Brewzzi Italian American Bistro & Microbrewery 	27
Triple 7 Restaurant and Brewery 	27
"Fredericksburg Brewing Company, Inc. "	27
Pumphouse Brewery 	27
Ram Restaurant & Brewery 	27
Wentworth Brewery Limited 	27
The Brew Keeper 	27
Microbrasserie de l'ile d'Orleans 	27
LagerHaus Grill & Brewery 	27
Good People Brewing Company 	27
Aviator Brewing Company 	27
Schooner Exact Brewing Company 	27
Ranger Creek Brewing & Distilling 	27
Greenbush Brewing Company 	27
"Wild Goose Brewery, LLC "	26
Burton Bridge Brewery 	26
Guinness Ltd. 	26
Scheldebrouwerij 	26
Hanseatische Getranke	26
Lakes Of Muskoka Cottage Brewery 	26
Valkyrie Brewing 	26
F&M Brewery 	26
Sonoran Brewing Company 	26
Buckhead Brewery and Grill 	26
Kutztown Tavern 	26
Davidson Brothers Restaurant & Brewery 	26
Sacramento Brewing Co. 	26
Bray's Brewpub And Eatery 	26
Flying Goose Brew Pub & Grille 	26
Privatbrauerei Eichbaum GmbH & Co. KG 	26
Holgate Brewhouse / Keatings Hotel 	26
Ram Restaurant & Brewery 	26
Great Adirondack Steak And Seafood Co. 	26
Barley Brothers Brewery & Grill 	26
Devil's Canyon Brewing Company 	26
Boscos Restaurant & Brewing Co. 	26
Astoria Brewing Company / Wet Dog Cafe 	26
Independence Brewing Co. 	26
Hideout Brewing Company 	26
Telegraph Brewing Company 	26
Crabtree Brewing Company 	26
Williamsburg AleWerks 	26
Sgaards Bryghus 	26
Le Saint	26
Red Eye Brewing Company 	26
The Peekskill Brewery 	26
Blue Hills Brewery 	26
Hart & Thistle 	26
Peg's Cantina & Brewpub 	26
Rivertown Brewing Co. 	26
Strange Brewing Company 	26
Flat 12 Bierwerks 	26
Tullycross Tavern & Microbrewery 	26
Paulaner Brauerei GmbH & Co. KG 	25
Sea Dog Brewing Company 	25
Brouwerij De Smedt / Brouwerij Affligem 	25
Nashoba Valley Winery 	25
Malt Shovel Brewery 	25
SBC Restaurant & Brewery 	25
Long Valley Pub & Brewery 	25
Obolon Brewery 	25
Federal Jack's Brewpub 	25
LaConner Brewing Company 	25
River Horse Brewing Co. 	25
Nethergate Brewery Co. Ltd. 	25
Brouwerij Het Anker 	25
Sweetwater Tavern & Brewery 	25
Raccoon River Brewing Company 	25
Lovejoy's Taproom 	25
Jamtlands Bryggeri AB 	25
Bandana Brewery 	25
Mammoth Brewing Company 	25
Hartwall Helsinki Panimo 	25
Island Brewing Company 	25
Cottage Brewing Co. Ltd 	25
Ossett Brewing Company 	25
Cumberland Brews 	25
Cape Cod Beer 	25
4th Street Brewing Co. 	25
The Duck	25
Trader Joe's Brewing Company 	25
Lazy Magnolia Brewing Company 	25
Back Street Brewery 	25
Firehouse Grill & Brewery 	25
Hereford & Hops Restaurant & Brewpub 	25
Lander Brewing Company 	25
Chuckanut Brewery & Kitchen 	25
Les Brasseurs Du Temps 	25
Blind Pig Brewery 	25
North Peak Brewing Company 	25
Eagle Rock Brewery 	25
Brodie's 	25
Fullsteam Brewery 	25
Toppling Goliath Brewing Company 	25
Stella Artois 	24
Maine Coast Brewing Company 	24
Moosehead Breweries Ltd. 	24
Brasserie Castelain 	24
De 3 Horne Bierbrouwerij 	24
Morgan Street Brewery 	24
Route 66 Brewery 	24
Kiuchi Brewery 	24
Black Diamond Brewing Co. 	24
Big River Grille & Brewing Works 	24
Artisan's Brewery & Italian Grill 	24
Scuttlebutt Brewing Company 	24
Aktien	24
B.O.B.'s House Of Brews 	24
Brasserie De Bouillon / Le Marche De Nathalie 	24
Yukon Brewing Company 	24
Beermann's Beerwerks 	24
Bent River Brewing Company 	24
Babe's Bar	24
Marzoni's Brick Oven & Brewing Company 	24
Ridgeway Brewing 	24
Brasserie Bieropholie 	24
Amnesia Brewing 	24
Multi	24
Charleville Vineyards Winery & Microbrewery 	24
Roosterfish Brewing Co. 	24
Christian Moerlein Brewing Company 	24
Bryggeriet Vestfyen 	24
Kern River Brewing Company 	24
Flat Earth Brewing Company 	24
The Ruddy Duck Brewery And Grill 	24
Ferguson Brewing Co. 	24
Hermitage Brewing 	24
Iron Fist Brewing Company 	24
Jester King Craft Brewery 	24
Crossroads Brewing Company 	24
Whistle Stop Restaurant & Woodman Brewery 	24
Pipeworks Brewing Company 	24
Brouwerij Boon 	23
Millstream Brewing Company 	23
Brauerei Tucher Brau 	23
Rock Bottom Restaurant & Brewery 	23
Deja Brew 	23
Gulpener Bierbrouwerij B.V. 	23
Thomas Hooker Ales & Lagers 	23
Brasserie de Silly S.A. 	23
Great Bear Brewing Co. 	23
"Cerveceria Centro Americana, S.A. "	23
Thisted Bryghus 	23
Firehouse Brewing Co. 	23
Coddington Brewing Co. 	23
